1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
68197.4312,69176.97909,69735.23522,70348.73644,69338.65151,68610.42107,68284.11468,68807.97122,68478.86239,69054.04016,69060.61697,70043.12417,69288.19815,70076.66196,70017.77246,69352.26372
69166.26198,69036.34778,69625.72135,69041.78807,68954.29207,69040.88281,68457.62574,66886.36972,67227.25473,66838.6214,66079.67131,65138.56775,65042.95398,64583.69436,63043.23056,62571.53332
62351.04179,62664.36361,63224.23959,63670.91294,62937.45513,62587.94915,62321.86751,61957.51563,61715.85903,61609.69924,60829.33628,61442.53539,60672.99848,60406.67737,60388.67368,59886.54248
59273.47392,59613.26205,59703.18646,59255.19696,59447.96304,60902.26751,61096.87193,61823.45002,63095.74849,63529.28811,64581.24302,64882.45278,65276.14668,65713.00446,67048.66048,67939.86639
67256.8232,66986.58985,67991.42751,67812.0926,68240.19862,69723.12145,69087.07088,69315.0105,70182.42565,70236.2316,70290.1659,69257.88534,67645.5916,66839.57896,64648.05843,63513.90391
64250.08102,65085.58479,65412.64803,66830.65009,67993.13519,68013.4388,69278.21263,69313.26425,69100.21375,69754.85018,69015.71858,69707.35373,69792.86384,69700.88124,70198.2609,70436.70459
70864.08083,71020.93165,70414.46885,69838.71852,68816.46329,68259.90392,68037.09609,67775.16096,67571.88428,67917.07083,68330.44158,68408.07975,68781.75384,68115.62095,68410.67113,68103.18743
67023.21927,67396.45598,67086.20663,67164.17327,67216.00602,66877.0808,66362.65174,65594.1912,66075.09574,65247.7918,65049.78591,64586.86415,63842.98608,63366.0187,62261.29439,62663.32815
63293.24663,63752.79133,63338.0502,62532.7452,62671.47463,61955.43014,61551.96388,61901.6726,60941.4255,61420.69456,60646.97057,61348.08984,60750.36972,60887.31321,60878.56801,61039.29963
60628.81058,60970.69791,60575.49197,60878.36943,61135.88179,61832.81095,62807.02319,63638.8786,64900.97808,65550.91684,66252.80079,66169.85887,66741.62944,68163.4952,68779.4509,68845.0612
68216.09321,69726.64794,70785.86786,71353.58435,72212.06339,71951.07928,72621.04646,73090.2584,72704.13565,73053.54878,72440.64229,71647.85735,70870.00319,69529.72949,66804.59802,66623.77627
67263.64929,66975.69649,67735.50131,68555.37815,70406.16511,69484.90667,70384.29118,69683.94998,70305.19842,70789.41446,71164.56136,71353.11513,71727.52866,71950.21848,72779.65276,73458.7603
74280.53768,75148.37035,74791.92359,75605.81895,74580.27678,72680.48556,73488.55312,72480.58908,73222.78122,73663.81154,74259.02669,75287.16325,75610.4908,75186.99651,75330.23564,74609.82076
